label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
84,0.26,0.5754,0.7354,0.4635,0.7764,0.9369,1.0,806.6634615384615,862.1826923076923,40,watershed,40 IMG20260216081714 (1).jpg
85,0.4125,0.7247,1.3132,0.507,0.9225,0.6962,5.5,810.4666666666667,945.9151515151515,40,watershed,40 IMG20260216081714 (1).jpg
86,1.0525,1.1576,1.8355,0.7647,0.9091,0.8977,1.0,822.4489311163895,429.916864608076,40,watershed,40 IMG20260216081714 (1).jpg
87,0.165,0.4583,0.5886,0.3626,0.7878,0.9851,0.4,809.9545454545455,1036.3939393939395,40,watershed,40 IMG20260216081714 (1).jpg
88,0.1775,0.4754,0.6405,0.3957,0.7863,0.7978,2.6,823.1408450704225,1075.2535211267605,40,watershed,40 IMG20260216081714 (1).jpg
89,0.755,0.9805,1.5876,0.866,0.8381,0.7073,10.8,835.115894039735,538.3874172185431,40,watershed,40 IMG20260216081714 (1).jpg
90,0.53,0.8215,0.9796,0.7617,0.6289,0.8281,21.6,834.6603773584906,876.2877358490566,40,watershed,40 IMG20260216081714 (1).jpg
91,0.335,0.6531,1.0129,0.5443,0.8434,0.7403,13.1,844.9402985074627,557.0298507462686,40,watershed,40 IMG20260216081714 (1).jpg
92,0.46,0.7653,1.0624,0.5664,0.846,0.9064,1.5,846.0923913043479,1119.0597826086957,40,watershed,40 IMG20260216081714 (1).jpg
93,0.4525,0.759,0.8526,0.6839,0.5972,0.9526,2.4,847.7955801104972,1094.7237569060774,40,watershed,40 IMG20260216081714 (1).jpg
94,0.1875,0.4886,0.679,0.3554,0.8521,0.9259,0.6,847.3866666666667,480.37333333333333,40,watershed,40 IMG20260216081714 (1).jpg
95,0.335,0.6531,1.0338,0.4819,0.8847,0.8272,5.2,847.9328358208955,577.6194029850747,40,watershed,40 IMG20260216081714 (1).jpg
96,0.345,0.6628,0.7912,0.5733,0.6892,0.9583,10.7,851.536231884058,171.85507246376812,40,watershed,40 IMG20260216081714 (1).jpg
97,0.12,0.3909,0.5422,0.3049,0.8269,0.8889,10.0,848.7708333333334,676.5625,40,watershed,40 IMG20260216081714 (1).jpg
98,0.695,0.9407,1.1725,0.7973,0.7332,0.8476,1.8,856.7194244604317,863.9172661870504,40,watershed,40 IMG20260216081714 (1).jpg
99,0.2725,0.589,0.6412,0.55,0.514,0.9478,1.0,855.3853211009174,1035.9908256880733,40,watershed,40 IMG20260216081714 (1).jpg
100,0.1775,0.4754,0.6151,0.3761,0.7913,0.9467,111.3,859.3943661971831,1087.943661971831,40,watershed,40 IMG20260216081714 (1).jpg
101,0.18,0.4787,0.5854,0.3986,0.7324,0.9231,6.4,858.5972222222222,611.4305555555555,40,watershed,40 IMG20260216081714 (1).jpg
102,0.3975,0.7114,1.2237,0.4302,0.9362,0.9138,4.2,859.125786163522,844.811320754717,40,watershed,40 IMG20260216081714 (1).jpg
103,0.16,0.4514,0.5827,0.361,0.785,0.9275,7.9,865.8125,808.515625,40,watershed,40 IMG20260216081714 (1).jpg
104,0.6625,0.9184,1.0814,0.8431,0.6262,0.8521,17.0,870.3132075471698,606.343396226415,40,watershed,40 IMG20260216081714 (1).jpg
105,0.33,0.6482,1.0046,0.4301,0.9037,0.9041,1.2,870.8560606060606,418.52272727272725,40,watershed,40 IMG20260216081714 (1).jpg
106,0.6675,0.9219,1.4712,0.6552,0.8953,0.8476,1.3,877.1910112359551,979.3932584269663,40,watershed,40 IMG20260216081714 (1).jpg
107,0.5075,0.8038,1.0365,0.6716,0.7617,0.8153,0.8,877.6502463054187,1045.1625615763546,40,watershed,40 IMG20260216081714 (1).jpg
108,0.3375,0.6555,0.7523,0.5942,0.6133,0.9,2.3,879.2814814814815,630.3925925925926,40,watershed,40 IMG20260216081714 (1).jpg
109,0.745,0.9739,1.0939,0.8799,0.5941,0.9521,0.9,890.7818791946308,1027.1375838926174,40,watershed,40 IMG20260216081714 (1).jpg
110,0.41,0.7225,0.8928,0.5989,0.7416,0.9266,5.0,892.1036585365854,589.8780487804878,40,watershed,40 IMG20260216081714 (1).jpg
111,1.0925,1.1794,1.7736,0.9309,0.8512,0.7382,1.1,896.8032036613272,331.03203661327234,40,watershed,40 IMG20260216081714 (1).jpg
112,0.215,0.5232,0.9086,0.4019,0.8968,0.7107,14.7,905.3372093023256,1023.7325581395348,40,watershed,40 IMG20260216081714 (1).jpg
113,0.9425,1.0955,1.8586,1.1322,0.793,0.5881,20.8,915.8222811671087,958.4907161803714,40,watershed,40 IMG20260216081714 (1).jpg
114,0.2375,0.5499,0.7158,0.5123,0.6984,0.7917,2.8,911.8947368421053,900.8315789473684,40,watershed,40 IMG20260216081714 (1).jpg
